,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
557,50,0.5,circles,svm,0.6515555555555556,0.00535643146364177,0.618,0.046432747064975584,0.03355555555555556,5.0
558,50,0.5,circles,svm,0.6635555555555557,0.007163005093904968,0.6039999999999999,0.04152107898405337,0.059555555555555806,10.0
559,50,0.5,circles,svm,0.7458888888888888,0.006147367197165792,0.5960000000000001,0.03382306905057552,0.14988888888888874,50.0
560,50,0.5,moons,logistic,0.7982222222222222,0.006977919319158944,0.795,0.05315072906367325,0.0032222222222221264,0.001
561,50,0.5,moons,logistic,0.8223333333333332,0.004593339246354298,0.8219999999999998,0.04915282290977803,0.00033333333333340764,0.01
562,50,0.5,moons,logistic,0.844888888888889,0.0049491238780711485,0.849,0.05337602458033008,-0.004111111111110954,0.1
563,50,0.5,moons,logistic,0.8502222222222221,0.0060000000000000235,0.8490000000000002,0.0561159513863928,0.0012222222222219026,0.5
564,50,0.5,moons,logistic,0.8515555555555556,0.006367355014175279,0.851,0.053563046963368326,0.0005555555555556424,1.0
565,50,0.5,moons,logistic,0.8512222222222221,0.005951449662596472,0.849,0.05430469592954187,0.0022222222222221255,10.0
566,50,0.5,moons,logistic,0.851,0.005825656323963686,0.849,0.05430469592954187,0.0020000000000000018,100.0
567,50,0.5,moons,svm,0.804888888888889,0.004873713822102505,0.806,0.05351635264103861,-0.0011111111111110628,0.001
568,50,0.5,moons,svm,0.836111111111111,0.005627314338711379,0.835,0.05220153254455275,0.0011111111111110628,0.005
569,50,0.5,moons,svm,0.8425555555555556,0.005984548004220101,0.8420000000000002,0.057061370470748426,0.0005555555555554204,0.01
570,50,0.5,moons,svm,0.848888888888889,0.006206328908341754,0.8470000000000001,0.05386093203798093,0.00188888888888894,0.05
571,50,0.5,moons,svm,0.8630000000000001,0.006611811354138578,0.8619999999999999,0.055641710972974226,0.001000000000000223,0.1
572,50,0.5,moons,svm,0.9434444444444445,0.0028306087117460294,0.938,0.027129319932501048,0.005444444444444585,0.5
